source,user,timestamp,information
Github,Dan Jutan,2020-08-11T16:04:40Z,just gotta push
Github,Dan Jutan,2020-08-07T20:20:05Z,event box and error fixes
Github,Dan Jutan,2020-08-05T16:17:55Z,fix glitchy scroll trigger
Github,Dan Jutan,2020-08-03T17:18:54Z,new peabody grid
Github,Dan Jutan,2020-07-27T20:20:11Z,EventKey works with v-model
Github,Dan Jutan,2020-07-27T19:27:05Z,PeabodyCanvas works with v-modelgit add .
Github,Dan Jutan,2020-07-20T17:47:27Z,added footnote system
Github,Dan Jutan,2020-07-19T22:20:08Z,nearest color
Github,Dan Jutan,2020-07-19T21:43:00Z,commit
Github,Dan Jutan,2020-07-19T21:40:04Z,"mini overlay squares, and don't show when on border"
Github,Dan Jutan,2020-07-19T21:26:34Z,"mini overlay squares, and don't show when on border"
Github,Dan Jutan,2020-07-19T01:51:57Z,been working on the peabodycanvas last week and forgot to commit
Github,Dan Jutan,2020-07-16T02:17:31Z,set highlight cursor to grab
Github,Dan Jutan,2020-07-15T13:26:18Z,"register MapScroller for dragging to notebook, and allow components to specify non-data props to retain when dragged to notebook"
Github,Dan Jutan,2020-07-14T18:08:25Z,fix bug in non-collect version
Github,Dan Jutan,2020-07-14T18:04:34Z,New Scrollytell structure that allows the collected elements to slide away together
Github,Dan Jutan,2020-07-13T17:35:28Z,always show blocks regardless of scroll
Github,Dan Jutan,2020-07-13T17:30:54Z,tutorial scrollytell
Github,Dan Jutan,2020-07-13T02:21:34Z,reset the scroll before refresh
Github,Dan Jutan,2020-07-13T02:04:49Z,fix offset issue
Github,Dan Jutan,2020-07-10T21:34:19Z,update vuejs
Github,Dan Jutan,2020-07-08T17:40:23Z,consistent line endings
Github,Dan Jutan,2020-07-08T17:22:22Z,Consistent line endings
Github,Dan Jutan,2020-07-05T17:16:30Z,a couple changes
Github,Dan Jutan,2020-07-03T21:14:59Z,viewports are relative to image size
Github,Dan Jutan,2020-07-03T20:39:27Z,scrolling always starts from current viewport state
Github,Dan Jutan,2020-07-03T16:11:52Z,smoother scrolling
Github,Dan Jutan,2020-07-02T21:20:36Z,initial scrolling map
Github,Dan Jutan,2020-07-01T18:22:26Z,comment cleanup
Github,Dan Jutan,2020-07-01T03:03:56Z,more accurate scrolling
Github,Dan Jutan,2020-06-30T19:27:56Z,scrollytell
Github,Dan Jutan,2020-06-29T15:06:14Z,new placeholder text
Github,Dan Jutan,2020-06-28T23:22:15Z,scrollTo navline sort of works...
Github,Dan Jutan,2020-06-28T21:35:21Z,working section system + navline integration
Github,Dan Jutan,2020-06-21T03:41:41Z,deprecate chapters store and rename notebook store to fit index.js convention
Github,Dan Jutan,2020-06-19T17:02:07Z,fix peabodytimeline
Github,Dan Jutan,2020-06-17T19:59:00Z,Merge pull request #63 from GeorgiaTechDHLab/datavizMerge new data architecture
Github,Dan Jutan,2020-06-17T19:57:01Z,Mutable data successfully saves/loads from server
Github,Dan Jutan,2020-06-17T17:32:59Z,(stuff in progress)
Github,Dan Jutan,2020-06-17T17:32:36Z,(stuff in progress)
Github,Dan Jutan,2020-06-12T03:31:50Z,repair saving/loading highlights from server function
Github,Dan Jutan,2020-06-11T18:22:25Z,use vuex for drag data
Github,Dan Jutan,2020-06-11T03:00:35Z,custom drag image for multi-span highlights to let the user know exactly what they're dragging!
Github,Dan Jutan,2020-06-10T06:01:19Z,now works with non-highlightable elements!
Github,Dan Jutan,2020-06-08T15:18:32Z,in progress
Github,Dan Jutan,2020-06-07T23:10:04Z,attempt2
Github,Dan Jutan,2020-06-04T19:50:33Z,"Beginning Visualization highlight/drag systemAs part of creating a robust highlight system,we need a way to deal with when the user highlights""unhightable"" portions of the text. I tried a solutionand I think I'm going to start over, but I want to save thisin case I go back to it."
Github,Dan Jutan,2020-06-01T16:49:34Z,viz reactivity works
Github,Dan Jutan,2020-05-29T00:39:08Z,almost there
Github,Dan Jutan,2020-05-26T17:44:59Z,it loads properly!
Github,Dan Jutan,2020-05-25T17:59:37Z,create mutable visualization store
Github,Dan Jutan,2020-05-24T23:46:51Z,new dataset vuex store
Github,Dan Jutan,2020-05-22T23:58:30Z,remove unused methods
Github,Dan Jutan,2020-05-22T19:09:09Z,add new notebook properties and set up mongoose validation
Github,Dan Jutan,2020-05-22T00:53:52Z,dataset.js routes are now specified in datasets.json and work with json as well as csv
Github,Dan Jutan,2020-05-19T22:06:21Z,Merge pull request #61 from GeorgiaTechDHLab/peabody-tutorialCompleted Peabody Tutorial / HowItWorks Component
Github,Dan Jutan,2020-05-19T22:01:39Z,make dots tabbable + some accessibility placeholders
Github,Dan Jutan,2020-05-19T19:33:51Z,two way eventkey highlighting
Github,Dan Jutan,2020-05-19T22:58:20Z,start highlighting
Github,Dan Jutan,2020-05-19T20:27:17Z,click to advance slide
Github,Dan Jutan,2020-05-19T20:20:11Z,dot slide selection
Github,Dan Jutan,2020-05-19T19:48:35Z,all tutorial slides completed
Github,Dan Jutan,2020-05-19T18:22:47Z,slightly better positioning
Github,Dan Jutan,2020-05-19T18:17:08Z,fix small eventkey positioning
Github,Dan Jutan,2020-05-19T14:02:33Z,implement EventKey
Github,Dan Jutan,2020-05-16T00:02:15Z,first four slides
Github,Dan Jutan,2020-05-15T01:56:45Z,Merge pull request #60 from GeorgiaTechDHLab/devDev
Github,Jianing Fu,2020-05-15T00:04:21Z,organized chapterscaffold
Github,Jianing Fu,2020-05-15T00:03:31Z,organized chapterscaffold
Github,Dan Jutan,2020-05-14T23:15:19Z,gray out and hide mini squares
Github,Dan Jutan,2020-05-14T19:33:55Z,make sure chapter scaffolds are using the new notebook
Github,Dan Jutan,2020-05-13T18:50:29Z,Merge branch 'highlights-improvements'
Github,Dan Jutan,2020-05-13T18:46:06Z,fix conflicts
Github,Dan Jutan,2020-05-13T18:34:56Z,remove overflow neighbors; don't freak out when we remove everything at once
Github,Dan Jutan,2020-05-13T17:16:56Z,hide context menu on remove
Github,Dan Jutan,2020-05-13T17:10:30Z,fix issue when multi-selecting into a non-block element
Github,Dan Jutan,2020-05-13T16:18:15Z,clean some code and improve context menu's y position
Github,Dan Jutan,2020-05-13T04:06:45Z,remove on context-menu button click and on log-out
Github,Dan Jutan,2020-05-12T19:47:32Z,check if user actually highlighted anything
Github,Dan Jutan,2020-05-12T17:56:02Z,removeHighlightSpan method stub
Github,Jianing Fu,2020-05-11T23:59:01Z,playfiar navline drafy
Github,Jianing Fu,2020-05-11T22:02:18Z,dubois navline complete
Github,Dan Jutan,2020-05-11T19:12:33Z,sync notebook
Github,Dan Jutan,2020-05-07T16:59:57Z,validation message display improvements
Github,Dan Jutan,2020-05-07T06:06:52Z,notebook auth seems to work
Github,Dan Jutan,2020-05-06T04:15:20Z,deprecate unused vuex and create new auth vuex
Github,Dan Jutan,2020-05-05T20:02:14Z,Merge pull request #58 from GeorgiaTechDHLab/highlights-and-notebookNotebook feature's beginnings
Github,Dan Jutan,2020-05-05T20:01:35Z,Merge branch 'master' into highlights-and-notebook
Github,Dan Jutan,2020-05-05T19:55:05Z,add flexbox in notebook header
Github,Jianing Fu,2020-05-05T04:00:42Z,"added dubois chapter, navline functioning, need to add seperate vuex"
Github,Dan Jutan,2020-05-05T01:53:46Z,create a script and an accompanying command to generate .env files (so we can store the template without having to store the password)
